id,date,montant,type,compte_source,compte_destination
94,2023-05-22 22:05,22.75,C,FR7646891944362487914319,FR7636598354426614812653
95,2022-04-05 02:04,-298.33,D,FR7695222406910283273234,FR7630952504928831908393
96,2023-11-16 12:11,-969.93,D,FR7621226330903074004641,FR7625967033418248092067
97,2022-01-23 23:01,-942.87,D,FR7645518834798347015792,FR7681524000426679386754
98,2022-06-14 10:06,-398.8,D,FR7664306080702167113517,FR7632284733990516536765
99,2023-09-29 18:09,-603.16,D,FR7619228158495190168033,FR7671578852529299959018
100,2023-02-13 07:02,343.72,C,FR7659127429758193233626,FR7615524276535835634834
101,2023-02-21 18:02,-924.39,D,FR7649977035223433213234,FR7632006520892399011307
102,2023-06-10 12:06,119.82,C,FR7653138976773876705091,FR7640807103773863426715
103,2023-03-15 05:03,854.26,C,FR7670235062538083116959,FR7678108864270391197805
104,2022-03-30 16:03,-87.73,D,FR7643628736764483026063,FR7622001549940573879875
105,2022-11-20 00:11,533.62,C,FR7687051954774122369989,FR7667904180788470824064
106,2023-09-21 06:09,399.36,C,FR7661214456225885671621,FR7698908882976231194537
107,2022-08-13 21:08,645.67,C,FR7622296748254688333766,FR7622668417715116739618
108,2023-10-09 18:10,-722.41,D,FR7657084106269950604898,FR7690355754701828787557
109,2022-01-29 16:01,-859.16,D,FR7696215225428393133312,FR7639263300435421292122
110,2022-10-01 13:10,-894.16,D,FR7670964180747074209359,FR7625918204729548998233
111,2023-05-22 11:05,-326.78,D,FR7666099589577986873255,FR7660463468548572633722
112,2022-06-17 23:06,969.5,C,FR7681782542869617327545,FR7631359141976398261279
113,2023-02-02 14:02,-726.73,D,FR7673817463280538025150,FR7648797462368959504884
114,2023-11-10 00:11,-602.97,D,FR7667738764837235933819,FR7671799993727555296820
115,2023-04-22 21:04,-783.24,D,FR7642346051107143145537,FR7663766777393060211081
116,2023-01-22 14:01,-970.85,D,FR7652383106795831099970,FR7631934075510813298236
117,2022-01-09 22:01,954.77,C,FR7657601199944122902132,FR7673463031489615836861
118,2023-12-10 10:12,513.21,C,FR7620615663794145231633,FR7621618617517385003460
119,2023-05-21 10:05,915.18,C,FR7678211000817182203203,FR7661788244775890336019
120,2023-01-31 06:01,-298.65,D,FR7638455166376991534797,FR7681379539230641029664
121,2023-08-25 15:08,728.79,C,FR7634722777899850201674,FR7651823160545544899032
122,2022-07-02 10:07,808.33,C,FR7672106156818145513932,FR7615059402164186577921
123,2023-08-14 02:08,806.53,C,FR7672695653986625477286,FR7640323971469926795276
124,2022-10-29 02:10,-699.92,D,FR7667436425182411284734,FR7688277513685588989324
125,2022-10-22 02:10,-62.91,D,FR7641402280338664424281,FR7618882037215979192437
126,2022-02-20 05:02,732.58,C,FR7629737672625817128698,FR7697773940473821413370
127,2022-09-25 00:09,-780.1,D,FR7667688758209843845105,FR7643622731967356369023
128,2023-03-31 01:03,-977.51,D,FR7622897707861762897789,FR7617987562950786201519
129,2022-09-24 04:09,-95.9,D,FR7614267995154526746461,FR7693587204666959291861
130,2022-09-29 18:09,-350.7,D,FR7636266575626747132121,FR7610072936560121374941
131,2022-05-06 18:05,-837.49,D,FR7671476800945458662949,FR7614445055650591628907
132,2023-05-31 11:05,697.53,C,FR7657975022529144333714,FR7634122735179971269132
133,2023-01-07 15:01,-432.36,D,FR7677567249523357497497,FR7678479301478057634409
134,2023-08-12 01:08,-415.9,D,FR7654045105342795492409,FR7628512971666013471636
135,2023-04-07 06:04,-153.73,D,FR7669499039288015962394,FR7699262475331076312671
136,2022-07-26 06:07,196.41,C,FR7689903547530928947370,FR7639666843549830628339
137,2023-09-22 09:09,-61.93,D,FR7638048843792711329132,FR7674458084136990486188
138,2023-04-25 23:04,-842.44,D,FR7623519422451897188416,FR7647499210391637683647
139,2022-08-15 23:08,-603.26,D,FR7678874673186739253863,FR7622559542350721662639
140,2023-11-13 07:11,-959.33,D,FR7650876714295985049739,FR7690002482821426475637
141,2022-06-05 22:06,-646.69,D,FR7692725663651532679953,FR7613381354354074779181
142,2023-06-23 21:06,-507.29,D,FR7635431028481889806216,FR7665141334339130829391
143,2022-04-01 22:04,479.71,C,FR7686707967212716436415,FR7625429025622822082107
144,2022-10-17 17:10,-553.12,D,FR7694133049688946611802,FR7643398582488279359776
145,2023-01-26 05:01,117.62,C,FR7691928867139050666169,FR7666612959593911032026
146,2022-12-18 09:12,-850.95,D,FR7656926247690032813096,FR7664635091198981115931
147,2022-10-15 13:10,-681.63,D,FR7640224966955457775119,FR7610746408282039864772
148,2023-10-23 15:10,-926.86,D,FR7654227437970022475154,FR7625522315439888943868
149,2023-07-09 03:07,-447.99,D,FR7686345104115438292624,FR7635585653261673439584
150,2023-03-31 20:03,-153.73,D,FR7678893217715899473105,FR7693811041724355112279
151,2023-07-08 21:07,179.52,C,FR7686607416567852675484,FR7676663454418922304766
152,2022-06-12 16:06,-875.45,D,FR7653977839970227312986,FR7634921985526498064474
153,2022-10-03 23:10,740.83,C,FR7686056869655814592930,FR7615283046669289688779
154,2023-04-05 04:04,-379.73,D,FR7617655199844463001698,FR7654964869798396499885
155,2022-07-26 07:07,896.46,C,FR7697799816829221954128,FR7690669243344381213216
156,2023-02-10 10:02,-948.98,D,FR7643254218964281393602,FR7671735535685720606703
157,2022-03-17 11:03,757.52,C,FR7613887890445848832250,FR7690386914270223524398
158,2022-04-07 03:04,-118.06,D,FR7699415428256410323444,FR7626703619336575247738
159,2023-02-14 08:02,750.12,C,FR7688024002157093793174,FR7682955215901528918955
160,2022-05-29 17:05,-950.09,D,FR7626353164356762166143,FR7610901904207287884349
161,2023-05-06 06:05,939.6,C,FR7666492457691367452843,FR7627734228383023279339
162,2022-01-16 20:01,771.32,C,FR7654364617691929089363,FR7670571216121216038439
163,2022-01-01 01:01,512.83,C,FR7691617875501747057780,FR7649363765134964568569
164,2023-02-28 01:02,-191.21,D,FR7631432301713133081658,FR7662996351264053509223
165,2022-04-28 00:04,563.78,C,FR7640522025238145522615,FR7618033417384765226964
166,2022-04-21 15:04,-851.28,D,FR7675354640435457993658,FR7666004870972255201902
167,2022-06-26 01:06,-76.83,D,FR7637771831752972611204,FR7663981617700897387180
168,2023-04-24 19:04,350.15,C,FR7636775750746075334980,FR7617624790611951154167
169,2022-04-14 06:04,402.12,C,FR7628691612747556001475,FR7636336340842017059015
170,2022-09-01 19:09,209.33,C,FR7696378996329775814440,FR7616273408266525902447
171,2023-09-19 00:09,545.23,C,FR7678897308278381275523,FR7668427774185153692957
172,2022-11-23 14:11,-108.77,D,FR7642354900281645881337,FR7669702189217534591272
173,2023-11-10 09:11,-699.55,D,FR7693271775999271134318,FR7639839756251129503484
174,2022-04-20 21:04,-457.09,D,FR7659785507669487116965,FR7617462622371056625874
175,2022-01-20 07:01,733.31,C,FR7630997794805613366922,FR7624195725844288801605
176,2022-10-13 06:10,-237.61,D,FR7617644377549858488167,FR7614333222835654249454
177,2023-09-23 04:09,-19.89,D,FR7619642404782995184736,FR7678219004727952167036
178,2023-02-12 03:02,835.03,C,FR7648743100820425915335,FR7686234985109180452874
179,2023-02-02 17:02,-162.58,D,FR7690073991363953286274,FR7622368048162741043166
180,2022-12-03 20:12,-332.05,D,FR7668462713882192038674,FR7626213827413761677195
181,2022-12-09 02:12,-74.45,D,FR7619088211163590595920,FR7694045238955678512195
182,2023-02-18 07:02,-837.77,D,FR7614065690637291095212,FR7635375449750188148237
183,2022-05-29 16:05,-989.43,D,FR7694445878951778598666,FR7643421070582774311395
184,2022-06-18 00:06,-452.56,D,FR7637824119442013923733,FR7631231248939611325911
185,2022-12-22 20:12,529.48,C,FR7663596174158051301075,FR7688627807910438144046
186,2023-07-04 20:07,-8.29,D,FR7661053734401454413787,FR7647436753733384607287
187,2022-09-03 17:09,-325.81,D,FR7630605649570122623328,FR7639714017513916036062
188,2022-10-17 04:10,-737.03,D,FR7657638310310288662223,FR7666608189445663941905
189,2023-06-12 06:06,-656.33,D,FR7625231816566710834185,FR7665528005366689988315
190,2023-01-18 21:01,-519.8,D,FR7611239991902057473609,FR7640531406636226674663
191,2022-09-26 21:09,-739.62,D,FR7622547546425665862836,FR7676714222438581734717
192,2023-07-29 06:07,-414.17,D,FR7696265461787672138749,FR7680496452648758547669
193,2023-02-22 03:02,927.63,C,FR7662133123860724445843,FR7652234505286870516862
194,2022-06-26 09:06,-708.69,D,FR7620041078925198027394,FR7653838505519387024688
195,2023-01-23 11:01,-368.65,D,FR7630464898726921514536,FR7635406639365316804200
196,2023-05-07 05:05,-373.42,D,FR7610307565353594204638,FR7614288120902532969281
197,2023-05-04 19:05,-385.26,D,FR7676992469876251645321,FR7687116903683758945348
198,2022-05-18 09:05,-826.72,D,FR7611926267174512287011,FR7621599046840069283644
199,2022-07-18 18:07,746.61,C,FR7628353345515651854883,FR7668391385896787589020
200,2023-10-25 04:10,-809.58,D,FR7695679303443618251364,FR7689685246916065211839
201,2022-01-26 16:01,719.77,C,FR7663485392733344532457,FR7673173411358271123096
202,2022-09-06 23:09,-690.11,D,FR7663439243954010899560,FR7617002658757846752067
203,2022-05-15 20:05,-240.19,D,FR7695924963869512699653,FR7662094545256437473281
204,2022-10-21 03:10,-800.59,D,FR7699653065658618552829,FR7677897264266195239849
205,2023-10-02 13:10,658.13,C,FR7666641117891143428229,FR7643662272756272605370
206,2022-09-08 10:09,958.85,C,FR7642391528496825587362,FR7630025802882643932457
207,2022-05-26 08:05,518.41,C,FR7682676475141361081494,FR7670878691419312307831
208,2022-04-03 22:04,-400.91,D,FR7696273026470013877210,FR7613564780438390325913
209,2023-06-15 08:06,-539.24,D,FR7648035454837868526735,FR7679528344847343484996
210,2022-01-13 20:01,644.31,C,FR7620689871950939886406,FR7613213764119021605112
211,2022-02-26 08:02,340.09,C,FR7637888812925834868517,FR7656194318819022347345
212,2022-09-14 05:09,104.99,C,FR7619196522375719835032,FR7625648357322738691759
213,2023-02-16 07:02,182.18,C,FR7659007236724761082929,FR7614462105245121294834
214,2022-04-23 15:04,699.11,C,FR7644321708447485679431,FR7695425517488725777500
215,2023-10-16 01:10,153.78,C,FR7628089050679539262467,FR7652093753240815694450
216,2022-04-08 08:04,-302.64,D,FR7699116241674221945450,FR7694911403652972512752
217,2023-10-19 08:10,-281.84,D,FR7653999841853674008987,FR7664061110868783084471
218,2023-05-31 21:05,-958.4,D,FR7654421039386386716303,FR7664763363738924689564
219,2023-10-03 13:10,-293.12,D,FR7619485591146714534319,FR7633938294463432965722
220,2022-07-28 16:07,996.49,C,FR7686985484190725648042,FR7647176915154433005347
221,2023-07-24 09:07,570.88,C,FR7699169722376526827140,FR7690473408356257296980
222,2023-04-10 12:04,-178.97,D,FR7622676437817393589288,FR7610338887279272396700
223,2023-10-21 10:10,95.75,C,FR7664446572856312267792,FR7671821853582793073804
224,2023-06-11 08:06,454.15,C,FR7641345087145566481577,FR7695778854883879176074
225,2023-06-10 13:06,-890.24,D,FR7630268011800261187300,FR7642169160545149347966
226,2022-02-20 15:02,-601.41,D,FR7673284023560839676681,FR7676295535173643775978
227,2022-12-28 05:12,963.0,C,FR7627196814746162764081,FR7631664256449281674349
228,2022-11-02 13:11,-685.5,D,FR7640193855484818814171,FR7617836299973234693938
229,2022-11-21 12:11,170.78,C,FR7630549693517950272725,FR7679237659315373831739
230,2022-10-15 05:10,-219.56,D,FR7630516326746768981175,FR7654836865263363001220
231,2023-02-24 21:02,250.9,C,FR7654318202548584376634,FR7652051584196891466499
232,2023-11-06 07:11,509.41,C,FR7627574123388973335642,FR7623513426340967448761
233,2023-11-01 12:11,850.31,C,FR7696258935599171092794,FR7695243680733038392608
234,2023-11-28 07:11,303.56,C,FR7613877682387860614230,FR7629521281197130329800
235,2023-04-25 05:04,513.65,C,FR7633766756675461737531,FR7611329986291052585214
236,2023-05-05 15:05,-553.18,D,FR7626265915409940713369,FR7685357458441055404235
237,2022-10-17 18:10,446.67,C,FR7625759767317638598348,FR7654384317126467316173
238,2022-02-26 10:02,709.17,C,FR7622787463812366627913,FR7628414693795394437656
239,2022-05-26 23:05,-341.42,D,FR7645747247996161995034,FR7690768199316387633651
240,2023-02-27 21:02,356.26,C,FR7631093307612729012691,FR7622821198319575724944
241,2022-09-07 23:09,-996.41,D,FR7619125682830189229471,FR7647217832463221243892
242,2022-08-20 21:08,-97.25,D,FR7698083940597095845800,FR7618338354131172168083
243,2022-11-02 17:11,70.39,C,FR7644313495377457233284,FR7612478356839875012218
244,2023-10-01 11:10,291.8,C,FR7689105336218180347280,FR7658175516307558532056
245,2022-09-27 08:09,365.49,C,FR7618707594801420045532,FR7636485808488553921737
246,2022-03-07 09:03,-274.32,D,FR7697544874705569096445,FR7617326935170343884520
247,2023-07-25 09:07,-36.57,D,FR7670688078710870666446,FR7628738678458473835937
248,2022-04-11 13:04,46.48,C,FR7687538793574819338680,FR7651443217223444204383
249,2022-04-28 14:04,-512.54,D,FR7672411502385471101291,FR7687647256130648811322
250,2023-11-30 09:11,224.57,C,FR7648684752834015613957,FR7641691855805132706334
251,2022-11-18 14:11,408.97,C,FR7666498758440935323312,FR7640976630966241154421
252,2022-10-10 13:10,957.24,C,FR7639924862595476928075,FR7625703437440333757336
253,2023-10-18 06:10,-55.08,D,FR7658416308522922573918,FR7642807023341311111883
254,2022-02-25 05:02,900.27,C,FR7611414344851165484922,FR7652163388560623715213
255,2023-10-08 10:10,-85.04,D,FR7619736685110674264638,FR7658932647950039754678
256,2022-09-17 14:09,-412.63,D,FR7616095239126583299033,FR7699069793783618308993
257,2022-12-16 11:12,703.62,C,FR7668861668150410048182,FR7689215152639434812380
258,2023-01-04 02:01,-875.37,D,FR7675223962272661521894,FR7654824050589045614627
259,2023-04-23 00:04,-279.86,D,FR7696652113133320582174,FR7675792830897477322929
260,2022-06-24 17:06,714.82,C,FR7684482023940516029679,FR7621359015595442371291
261,2022-01-21 12:01,-969.2,D,FR7659476193272388197205,FR7672327034801514228363
262,2023-11-23 09:11,164.93,C,FR7652192751184648961150,FR7646856244951664154039
263,2023-12-19 01:12,10.25,C,FR7671454913618865508901,FR7634273709991678484358
264,2022-06-24 17:06,-154.89,D,FR7666363269645166259894,FR7612418801236575713456
265,2022-08-13 19:08,-476.93,D,FR7649687496442087663538,FR7655291442872934911537
266,2022-01-20 02:01,-748.26,D,FR7638867101945161019430,FR7654679668785484141599
267,2022-11-14 06:11,-910.66,D,FR7615166906613312804815,FR7645069699323549405014
268,2022-03-11 11:03,-633.68,D,FR7654268889474372242881,FR7672994634208828744632
269,2023-06-14 20:06,-430.83,D,FR7688598376576544574975,FR7683456464353446442069
270,2022-07-13 05:07,151.27,C,FR7684488581434079917972,FR7627722937396443337591
271,2023-02-11 20:02,-554.48,D,FR7678775355651166664699,FR7612186428171698334056
272,2023-01-06 07:01,-670.28,D,FR7614005373606511405465,FR7675899769552647424074
273,2023-10-06 16:10,667.56,C,FR7648561702321325309030,FR7633664041750923749423
274,2023-12-17 12:12,-885.06,D,FR7623551324650155073565,FR7696049755928343523758
275,2023-02-04 17:02,-611.75,D,FR7620271829321355138616,FR7636751329155722482089
276,2022-05-07 23:05,711.79,C,FR7612558740420650351406,FR7618961148354974317785
277,2022-05-07 00:05,974.55,C,FR7691828271334018613603,FR7610481160337612788536
278,2023-06-01 18:06,-523.34,D,FR7685164185852516575069,FR7622138923535323297630
279,2023-10-30 02:10,-530.22,D,FR7619911025616045973456,FR7652683399700075099729
280,2022-04-25 21:04,311.05,C,FR7629736709387075062102,FR7678954939469625597147
281,2023-01-17 03:01,-591.12,D,FR7687391586168899956881,FR7697874961602111091926
282,2023-02-19 10:02,363.19,C,FR7655574378491726063893,FR7695259899206561439061
283,2022-04-10 17:04,-906.42,D,FR7645542342687378387578,FR7635592402831277948673
284,2022-06-21 12:06,286.23,C,FR7611216737885635068591,FR7645741755490968517039
285,2023-10-16 00:10,-931.32,D,FR7625327898832634479248,FR7637048552467525508654
286,2023-02-26 20:02,46.12,C,FR7638346149318445746970,FR7611361264656976269537
287,2023-03-25 02:03,123.73,C,FR7613248579367567455416,FR7659858785738096024319
288,2023-06-02 10:06,-266.54,D,FR7643796704190329764641,FR7665816756502439896044
289,2022-04-20 12:04,166.61,C,FR7673065803562283215042,FR7617927692391175749139
290,2023-07-26 05:07,675.08,C,FR7614786195303770096833,FR7687847696672225981222
291,2022-11-03 22:11,953.75,C,FR7685469799493612589714,FR7638078071820952081313
292,2022-11-25 11:11,-400.61,D,FR7616147232663354201928,FR7651194210359972056525
293,2023-06-03 21:06,-977.3,D,FR7625259283573838655552,FR7665419475772519061901
294,2023-12-06 13:12,992.29,C,FR7641141924726952143854,FR7635466618980444208347
295,2023-09-10 18:09,69.22,C,FR7681224315467482794075,FR7610576191383684773570
296,2022-02-18 11:02,722.95,C,FR7624433802642150786073,FR7680728485780939493790
297,2023-02-20 16:02,-932.44,D,FR7657076055163772422480,FR7681287712763675921930
298,2023-04-29 10:04,920.0,C,FR7635527670623252467690,FR7615099963583468688820
299,2023-07-11 23:07,-851.13,D,FR7692323618660874327346,FR7629499070981016113843
300,2023-09-07 16:09,-551.09,D,FR7621204437118934988610,FR7686276657481466666799
301,2023-06-07 12:06,761.89,C,FR7611259385938670746376,FR7643688933508784905114
302,2023-04-05 20:04,-404.65,D,FR7666354932618064986052,FR7651777075714963179044
303,2023-02-25 18:02,-717.22,D,FR7633518739853946693013,FR7641817379335170549437
304,2023-01-08 02:01,683.13,C,FR7661969148254582746657,FR7665908630762783721069
305,2023-11-23 00:11,37.01,C,FR7672968637501818781710,FR7650691622303857936639
306,2022-12-28 21:12,-106.08,D,FR7644371885772430795451,FR7613723653222364454892
307,2023-03-06 21:03,459.64,C,FR7648627502884732929233,FR7697638873535777841477
308,2023-01-26 20:01,750.21,C,FR7661223576539792828811,FR7656807621280322848347
309,2023-12-29 21:12,462.87,C,FR7648936846940826542153,FR7671842783880753728176
310,2023-05-03 10:05,377.62,C,FR7655024896504325021747,FR7672267398479110235057
311,2022-11-07 00:11,236.44,C,FR7694062042567518837035,FR7639896137799560538544
312,2022-11-26 10:11,-45.96,D,FR7694455129431617442347,FR7622142444404061583880
313,2023-04-29 05:04,963.58,C,FR7654021948830477746886,FR7649773192310217773352
314,2023-06-05 09:06,-267.56,D,FR7642651762739642764042,FR7620895870513029112858
315,2023-06-19 12:06,-475.93,D,FR7616516659332622279611,FR7623642735408994995763
316,2023-12-14 09:12,506.35,C,FR7654124694208556256870,FR7698462021245244061028
317,2023-02-22 14:02,207.54,C,FR7654895649445565447163,FR7680091842159330657177
318,2023-07-08 18:07,-326.18,D,FR7669831146423363578892,FR7684419526667992523771
319,2023-04-21 17:04,934.44,C,FR7698353880571650376920,FR7627084060255491338123
320,2022-06-24 00:06,-385.84,D,FR7655948846622473599120,FR7695633471769550471271
321,2022-08-29 01:08,-37.95,D,FR7687943379678594679296,FR7614566416312522809290
322,2022-01-24 02:01,452.22,C,FR7614742557201455404994,FR7696996867485682166643
323,2023-04-11 09:04,354.22,C,FR7634199575305366373631,FR7698499600537031827706
324,2023-10-28 06:10,471.36,C,FR7697862181666250759886,FR7643583015853527403370
325,2022-10-06 17:10,932.21,C,FR7658578412991645861036,FR7623554837872494634530
326,2022-07-19 19:07,371.5,C,FR7622554680516762869326,FR7626106717235264729139
327,2023-09-14 13:09,832.14,C,FR7614641297391268284483,FR7694939617183239045076
328,2023-01-26 08:01,-685.91,D,FR7690895536171928622786,FR7634685831590265964892
329,2023-02-10 22:02,110.59,C,FR7695337060938410023382,FR7629858072303032878599
330,2022-06-18 17:06,-516.73,D,FR7643716537528490866949,FR7620767259348486029052
331,2023-04-22 04:04,463.1,C,FR7627031408401736384801,FR7629537902220790495670
332,2023-02-21 17:02,165.12,C,FR7613961516684033635494,FR7683832033835681895417
333,2022-11-17 02:11,849.96,C,FR7677562973599141588428,FR7664838131602597584082
334,2023-08-10 03:08,150.23,C,FR7664452111782193658934,FR7616287077104757709977
335,2022-02-22 23:02,-158.12,D,FR7618186289600172365737,FR7649153754196991109580
336,2023-01-04 05:01,-168.66,D,FR7661978636837791579762,FR7697473107222868321077
